error_log_text,root_cause
InvalidSelectorException: The given selector '##logout' is not valid,locator_issue
NoSuchWindowException: Tried switching to a non-existent window,navigation_issue
UnknownError: Random JavaScript failure occurred,flaky
NavigationTimeoutException: Page load timed out,navigation_issue
NoSuchElementException: Cannot locate element with id 'email',locator_issue
UnhandledAlertException: Unexpected alert open,navigation_issue
TimeoutException: Waiting for visibility of element 'submit' timed out,wait_issue
NoSuchElementException: Cannot locate element with id 'username',locator_issue
ElementNotVisibleException: Element 'logout' is not visible after wait,wait_issue
UnhandledAlertException: Unexpected alert open,navigation_issue
ElementNotInteractableException: Element 'username' could not be interacted with,flaky
JavascriptException: error executing script in browser,env_issue
NoSuchWindowException: Tried switching to a non-existent window,navigation_issue
TimeoutException: Waiting for visibility of element 'searchBox' timed out,wait_issue
ElementNotInteractableException: Element 'logout' could not be interacted with,flaky
NoSuchWindowException: Tried switching to a non-existent window,navigation_issue
SessionNotCreatedException: session ID is null,env_issue
JavascriptException: error executing script in browser,env_issue
ElementNotInteractableException: Element 'email' could not be interacted with,flaky
UnknownError: Random JavaScript failure occurred,flaky
ElementNotVisibleException: Element 'loginBtn' is not visible after wait,wait_issue
InvalidSelectorException: The given selector '##submit' is not valid,locator_issue
TimeoutException: Waiting for visibility of element 'username' timed out,wait_issue
NavigationTimeoutException: Page load timed out,navigation_issue
TimeoutException: Waiting for visibility of element 'username' timed out,wait_issue
UnknownError: Random JavaScript failure occurred,flaky
NoSuchElementException: Cannot locate element with id 'username',locator_issue
NoSuchElementException: Cannot locate element with id 'loginBtn',locator_issue
ElementClickInterceptedException: Element click intercepted by another element,flaky
NoSuchWindowException: Tried switching to a non-existent window,navigation_issue
UnknownError: Random JavaScript failure occurred,flaky
NoSuchWindowException: Tried switching to a non-existent window,navigation_issue
UnknownError: Random JavaScript failure occurred,flaky
ElementNotInteractableException: Element 'submit' could not be interacted with,flaky
NoSuchElementException: Cannot locate element with id 'loginBtn',locator_issue
UnknownError: Random JavaScript failure occurred,flaky
SessionNotCreatedException: session ID is null,env_issue
NoSuchWindowException: Tried switching to a non-existent window,navigation_issue
NoSuchWindowException: Tried switching to a non-existent window,navigation_issue
StaleElementReferenceException: The element with id 'username' is no longer attached to the DOM,locator_issue
500 Internal Server Error: GET /api/v1/data,env_issue
UnhandledAlertException: Unexpected alert open,navigation_issue
JavascriptException: error executing script in browser,env_issue
